ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_HOUSING_TYPE,FLAG_MOBIL,OCCUPATION_TYPE,NO_RISK_MONTHS,LOW_RISK_MONTHS,MEDIUM_RISK_MONTHS,HIGH_RISK_MONTHS,CRITICAL_RISK_MONTHS,AGE_YEARS,YEARS_EMPLOYED,CREDIT_APPROVAL
5008929,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,7,1,0,0,0,42,8,1
5008930,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,1,6,0,0,0,42,8,1
5008931,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,5,1,0,0,0,42,8,1
5008932,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,1,5,0,0,0,42,8,1
5008933,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,5,1,0,0,0,42,8,1
5008934,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,5,0,0,0,0,42,8,1
5008935,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,4,1,0,0,0,42,8,1
5008936,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,4,0,0,0,0,42,8,1
5008937,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,1,1,0,0,0,42,8,1
5008938,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,2,0,0,0,0,42,8,1
5008939,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,1,0,0,0,0,42,8,1
5008940,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,1,1,0,0,0,42,8,1
5008941,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,8,0,0,0,0,42,8,1
5008942,0,0,157500.0,Commercial associate,House,1,High skill tech staff,1,12,3,0,0,37,13,0
5008943,0,0,157500.0,Commercial associate,House,1,High skill tech staff,15,0,0,0,0,37,13,1
5008944,0,0,157500.0,Commercial associate,House,1,High skill tech staff,1,12,3,0,0,37,13,0
5008945,0,0,157500.0,Commercial associate,House,1,High skill tech staff,1,12,3,0,0,37,13,0
5008946,0,0,157500.0,Commercial associate,House,1,High skill tech staff,1,12,3,0,0,37,13,0
5008947,0,1,135000.0,Working,House,1,Drivers,13,0,0,0,0,42,3,1
5008948,0,1,135000.0,Working,House,1,Drivers,13,0,0,0,0,42,3,1
5008949,0,1,135000.0,Working,House,1,Drivers,1,0,0,0,0,42,3,1
5008950,0,1,135000.0,Working,House,1,Drivers,13,0,0,0,0,42,3,1
5008951,0,1,225000.0,Working,House,1,,40,6,0,0,0,28,7,1
5008952,0,1,225000.0,Working,House,1,,46,0,0,0,0,28,7,1
5008953,0,1,225000.0,Working,House,1,,28,0,0,0,0,28,7,1
5008954,0,1,225000.0,Working,House,1,,0,6,0,0,0,28,7,1
5008955,1,1,135000.0,Working,House,1,Laborers,0,5,0,0,0,48,4,1
5008956,1,1,135000.0,Working,House,1,Laborers,35,5,0,0,0,48,4,1
5008957,1,1,135000.0,Working,House,1,Laborers,35,5,0,0,0,48,4,1
5008958,1,1,135000.0,Working,House,1,Laborers,0,4,0,0,0,48,4,1
5008959,1,1,135000.0,Working,House,1,Laborers,4,12,0,0,0,48,4,1
5008960,1,1,135000.0,Working,House,1,Laborers,17,12,0,0,0,48,4,1
5008962,1,1,135000.0,Working,House,1,Laborers,18,9,0,0,0,48,4,1
5008963,1,1,135000.0,Working,House,1,Laborers,30,9,0,0,0,48,4,1
5008966,0,1,157500.0,Working,House,1,,1,14,1,0,0,43,2,1
5008967,0,1,157500.0,Working,House,1,,8,14,0,0,0,43,2,1
5008971,0,1,157500.0,Working,House,1,,0,5,0,0,0,43,2,1
5008973,0,1,157500.0,Working,House,1,,0,5,0,0,0,43,2,1
5008974,0,1,112500.0,Pensioner,House,1,,1,2,0,0,0,61,0,1
5008975,0,1,112500.0,Pensioner,House,1,,1,19,2,0,0,61,0,1
5008976,0,1,112500.0,Pensioner,House,1,,0,2,0,0,0,61,0,1
5008977,0,1,112500.0,Pensioner,House,1,,0,24,0,0,0,61,0,1
5008978,0,1,112500.0,Pensioner,House,1,,1,19,2,0,0,61,0,1
5008979,0,1,112500.0,Pensioner,House,1,,30,8,0,0,0,61,0,1
5008980,0,1,112500.0,Pensioner,House,1,,33,18,0,0,0,61,0,1
5008981,1,1,112500.0,State servant,House,1,Drivers,11,0,0,0,0,57,6,1
5008983,1,1,112500.0,State servant,House,1,Drivers,12,0,0,0,0,57,6,1
5008984,1,1,112500.0,State servant,House,1,Drivers,59,0,0,0,0,57,6,1
5008986,1,1,112500.0,State servant,House,1,Drivers,11,0,0,0,0,57,6,1
5008987,1,1,112500.0,State servant,House,1,Drivers,8,3,0,0,0,57,6,1
5008988,1,1,112500.0,State servant,House,1,Drivers,17,0,0,0,0,57,6,1
5008991,1,1,270000.0,Working,House,1,Cleaning staff,3,26,0,0,0,45,3,1
5008992,1,1,270000.0,Working,House,1,Cleaning staff,6,1,0,0,0,45,3,1
5008993,1,1,270000.0,Working,House,1,Cleaning staff,0,18,0,0,0,45,3,1
5008994,1,1,270000.0,Working,House,1,Cleaning staff,3,17,0,0,0,45,3,1
5008995,1,1,270000.0,Working,House,1,Cleaning staff,1,18,0,0,0,45,3,1
5112861,1,1,270000.0,Working,House,1,Cleaning staff,1,19,0,0,0,45,3,1
5008998,1,1,270000.0,Working,House,1,Managers,4,0,0,0,0,29,2,1
5008999,1,1,270000.0,Working,House,1,Managers,4,0,0,0,0,29,2,1
5009000,1,1,157500.0,Working,House,1,Drivers,14,9,0,0,0,27,2,1
5009001,0,1,166500.0,Working,House,1,Laborers,1,6,0,0,0,51,17,1
5009002,0,1,166500.0,Working,House,1,Laborers,1,6,0,0,0,51,17,1
5009005,0,1,166500.0,Working,House,1,Laborers,1,6,0,0,0,51,17,1
5009006,0,1,166500.0,Working,House,1,Laborers,4,7,0,0,0,51,17,1
5009007,0,1,166500.0,Working,House,1,Laborers,4,7,0,0,0,51,17,1
5009008,0,1,166500.0,Working,House,1,Laborers,1,6,0,0,0,51,17,1
5009009,0,1,166500.0,Working,House,1,Laborers,4,7,0,0,0,51,17,1
5009010,0,1,166500.0,Working,House,1,Laborers,1,6,0,0,0,51,17,1
5009012,0,1,166500.0,Working,House,1,Laborers,3,3,0,0,0,51,17,1
5009014,0,1,166500.0,Working,House,1,Laborers,1,6,0,0,0,51,17,1
5009016,0,1,216000.0,State servant,House,1,,19,6,0,0,0,42,8,1
5009018,0,1,216000.0,State servant,House,1,,10,3,0,0,0,42,8,1
5009019,0,1,216000.0,State servant,House,1,,0,33,0,0,0,42,8,1
5009020,0,1,216000.0,State servant,House,1,,13,12,0,0,0,42,8,1
5009022,0,1,216000.0,State servant,House,1,,34,6,0,0,0,42,8,1
5009023,0,1,216000.0,State servant,House,1,,30,6,0,0,0,42,8,1
5009024,0,1,216000.0,State servant,House,1,,3,6,0,0,0,42,8,1
5009025,0,1,216000.0,State servant,House,1,,28,6,0,0,0,42,8,1
5009027,1,1,270000.0,Commercial associate,House,1,Laborers,7,15,0,0,0,54,29,1
5112862,1,1,270000.0,Commercial associate,House,1,Laborers,24,5,0,0,0,54,29,1
5009028,1,1,225000.0,Commercial associate,House,1,Laborers,1,9,1,0,0,39,7,1
5009029,1,1,225000.0,Commercial associate,House,1,Laborers,16,0,0,0,0,39,7,1
5009031,0,1,315000.0,Working,House,1,Accountants,12,2,0,0,0,28,3,1
5009032,0,1,315000.0,Working,House,1,Accountants,12,2,0,0,0,28,3,1
5009033,0,0,255150.0,Pensioner,Rented apartment,1,,13,4,0,0,0,51,0,1
5009034,0,0,255150.0,Pensioner,Rented apartment,1,,7,11,0,0,0,51,0,1
5009035,0,0,255150.0,Pensioner,Rented apartment,1,,2,4,0,0,0,51,0,1
5009036,0,0,255150.0,Pensioner,Rented apartment,1,,14,5,0,0,0,51,0,1
5009037,0,0,255150.0,Pensioner,Rented apartment,1,,16,4,0,0,0,51,0,1
5009038,0,0,255150.0,Pensioner,Rented apartment,1,,9,4,0,0,0,51,0,1
5009039,0,1,157500.0,Working,House,1,Core staff,8,1,0,0,0,39,1,1
5009040,0,1,157500.0,Working,House,1,Core staff,3,1,0,0,0,39,1,1
5009042,0,1,148500.0,Working,House,1,Core staff,13,8,0,0,0,48,2,1
5009043,0,1,148500.0,Working,House,1,Core staff,4,15,0,0,0,48,2,1
5009044,0,1,148500.0,Working,House,1,Core staff,1,13,1,0,0,48,2,1
5009045,0,1,148500.0,Working,House,1,Core staff,1,13,1,0,0,48,2,1
5009046,0,1,148500.0,Working,House,1,Core staff,4,4,0,0,0,48,2,1
5009047,0,1,148500.0,Working,House,1,Core staff,1,11,0,0,0,48,2,1
5009050,0,1,202500.0,Working,House,1,Core staff,8,6,0,0,0,30,6,1
5009051,0,1,202500.0,Working,House,1,Core staff,20,22,1,0,0,30,6,1
5009052,0,1,202500.0,Working,House,1,Core staff,31,17,0,0,0,30,6,1
5009053,0,1,202500.0,Working,House,1,Core staff,8,6,0,0,0,30,6,1
5009055,0,1,202500.0,Working,House,1,Core staff,13,1,0,0,0,30,6,1
5009056,0,1,202500.0,Working,House,1,Drivers,0,10,0,0,0,24,2,1
5009057,0,1,202500.0,Working,House,1,Drivers,0,10,0,0,0,24,2,1
5009058,1,1,112500.0,Commercial associate,House,1,Private service staff,1,0,0,0,0,20,2,1
5009060,0,1,94500.0,Pensioner,House,1,,0,4,0,0,0,61,0,1
5009062,1,1,315000.0,Working,House,1,Sales staff,35,3,0,0,0,28,5,1
5009063,1,1,315000.0,Working,House,1,Sales staff,25,3,0,0,0,28,5,1
5009064,1,1,315000.0,Working,House,1,Sales staff,5,0,0,0,0,28,5,1
5009065,1,1,315000.0,Working,House,1,Sales staff,11,0,0,0,0,28,5,1
5009066,1,1,315000.0,Working,House,1,Sales staff,2,14,0,0,0,28,5,1
5009067,1,1,315000.0,Working,House,1,Sales staff,1,4,0,0,0,28,5,1
5009068,1,1,315000.0,Working,House,1,Sales staff,20,3,0,0,0,28,5,1
5009069,1,1,315000.0,Working,House,1,Sales staff,16,20,0,0,0,28,5,1
5009070,1,1,315000.0,Working,House,1,Sales staff,35,3,0,0,0,28,5,1
5009071,1,1,270000.0,Commercial associate,Municipal apartment,1,High skill tech staff,14,7,0,0,0,28,8,1
5009072,1,1,270000.0,Commercial associate,Municipal apartment,1,High skill tech staff,17,7,0,0,0,28,8,1
5009074,1,1,450000.0,State servant,House,1,Core staff,0,23,0,0,0,48,1,1
5009075,1,1,450000.0,State servant,House,1,Core staff,1,23,0,0,0,48,1,1
5009078,0,1,180000.0,Working,With parents,1,Drivers,25,6,0,0,0,38,3,1
5009079,0,1,112500.0,Working,House,1,Laborers,36,8,0,0,0,27,8,1
5009080,0,1,112500.0,Working,House,1,Laborers,4,8,4,0,0,27,8,0
5009081,0,1,112500.0,Working,House,1,Laborers,6,11,0,0,0,27,8,1
5009083,0,1,90000.0,Working,House,1,Drivers,48,0,0,0,0,56,15,1
5009084,0,1,90000.0,Working,House,1,Drivers,0,3,0,0,0,56,15,1
5009088,1,0,202500.0,Commercial associate,House,1,Laborers,9,32,0,0,0,40,8,1
5009089,1,0,202500.0,Commercial associate,House,1,Laborers,8,32,0,0,0,40,8,1
5009090,1,1,247500.0,Working,House,1,Drivers,0,14,0,0,0,34,11,1
5009092,1,1,765000.0,Working,House,1,Managers,0,2,2,0,0,33,3,1
5009094,1,1,765000.0,Working,House,1,Managers,0,4,0,0,0,33,3,1
5009095,1,1,765000.0,Working,House,1,Managers,0,4,0,0,0,33,3,1
5009096,0,1,270000.0,Commercial associate,House,1,Accountants,21,4,0,0,0,37,12,1
5009097,0,1,270000.0,Commercial associate,House,1,Accountants,1,14,0,0,0,37,12,1
5009098,0,1,270000.0,Commercial associate,House,1,Accountants,14,4,0,0,0,37,12,1
5009099,0,1,315000.0,Working,House,1,Managers,19,10,0,0,0,36,1,1
5009100,0,1,315000.0,Working,House,1,Managers,18,10,0,0,0,36,1,1
5009103,1,1,157500.0,Working,With parents,1,Drivers,32,7,0,0,0,35,11,1
5009104,1,1,157500.0,Working,With parents,1,Drivers,28,0,0,0,0,35,11,1
5009105,1,1,157500.0,Working,With parents,1,Drivers,31,0,0,0,0,35,11,1
5009106,1,1,157500.0,Working,With parents,1,Drivers,61,0,0,0,0,35,11,1
5112876,1,1,157500.0,Working,With parents,1,Drivers,19,7,0,0,0,35,11,1
5009108,0,1,360000.0,Commercial associate,House,1,Security staff,0,8,0,0,0,41,7,1
5009109,0,1,360000.0,Commercial associate,House,1,Security staff,11,10,0,0,0,41,7,1
5009110,0,1,112500.0,Commercial associate,House,1,High skill tech staff,0,3,1,0,0,24,0,1
5009116,0,0,157500.0,Commercial associate,With parents,1,,9,4,0,0,0,43,1,1
5009117,0,0,157500.0,Commercial associate,With parents,1,,46,4,0,0,0,43,1,1
5009118,0,0,157500.0,Commercial associate,With parents,1,,9,4,0,0,0,43,1,1
5009120,0,0,157500.0,Commercial associate,With parents,1,,9,4,0,0,0,43,1,1
5009122,0,0,157500.0,Commercial associate,With parents,1,,9,4,0,0,0,43,1,1
5009123,0,0,157500.0,Commercial associate,With parents,1,,40,4,0,0,0,43,1,1
5009124,0,0,157500.0,Commercial associate,With parents,1,,9,4,0,0,0,43,1,1
5009125,0,0,157500.0,Commercial associate,With parents,1,,43,4,0,0,0,43,1,1
5009126,0,0,157500.0,Commercial associate,With parents,1,,9,4,0,0,0,43,1,1
5009127,0,0,157500.0,Commercial associate,With parents,1,,19,4,0,0,0,43,1,1
5009128,0,0,157500.0,Commercial associate,With parents,1,,9,4,0,0,0,43,1,1
5009129,0,0,157500.0,Commercial associate,With parents,1,,8,4,0,0,0,43,1,1
5009130,0,0,157500.0,Commercial associate,With parents,1,,19,4,0,0,0,43,1,1
5009131,0,0,157500.0,Commercial associate,With parents,1,,9,4,0,0,0,43,1,1
5009133,0,1,382500.0,Pensioner,House,1,,14,3,0,0,0,59,0,1
5009134,0,1,382500.0,Pensioner,House,1,,12,5,0,0,0,59,0,1
5009135,0,1,382500.0,Pensioner,House,1,,2,8,0,0,0,59,0,1
5009136,0,1,382500.0,Pensioner,House,1,,10,6,0,0,0,59,0,1
5009137,0,1,382500.0,Pensioner,House,1,,2,8,0,0,0,59,0,1
5009138,0,1,382500.0,Pensioner,House,1,,11,5,1,0,0,59,0,1
5009139,0,1,382500.0,Pensioner,House,1,,1,8,0,0,0,59,0,1
5009140,0,1,382500.0,Pensioner,House,1,,2,8,0,0,0,59,0,1
5009141,0,0,135000.0,Working,House,1,Managers,26,8,0,0,0,26,4,1
5009142,0,0,135000.0,Working,House,1,Managers,4,8,0,0,0,26,4,1
5009143,1,0,225000.0,Pensioner,House,1,,2,9,1,0,0,50,0,1
5009144,1,0,225000.0,Pensioner,House,1,,5,6,0,0,0,50,0,1
5009145,1,0,315000.0,Working,House,1,Managers,32,4,0,0,0,43,10,1
5009146,1,0,315000.0,Working,House,1,Managers,22,3,1,0,0,43,10,1
5009147,1,0,315000.0,Working,House,1,Managers,8,5,0,0,0,43,10,1
5009149,1,0,315000.0,Working,House,1,Managers,3,5,0,0,0,43,10,1
5009150,1,0,315000.0,Working,House,1,Managers,14,3,1,0,0,43,10,1
5009151,0,0,180000.0,Working,House,1,Sales staff,26,4,0,0,0,53,7,1
5009152,0,0,180000.0,Working,House,1,Sales staff,44,4,0,0,0,53,7,1
5009153,0,0,180000.0,Working,House,1,Sales staff,44,4,0,0,0,53,7,1
5009154,0,0,180000.0,Working,House,1,Sales staff,25,4,0,0,0,53,7,1
5009155,0,0,180000.0,Working,House,1,Sales staff,24,4,0,0,0,53,7,1
5009156,0,0,180000.0,Working,House,1,Sales staff,14,4,0,0,0,53,7,1
5009157,0,0,180000.0,Working,House,1,Sales staff,44,4,0,0,0,53,7,1
5009158,0,0,180000.0,Working,House,1,Sales staff,40,4,0,0,0,53,7,1
5009159,0,0,180000.0,Working,House,1,Sales staff,11,4,0,0,0,53,7,1
5009160,0,0,180000.0,Working,House,1,Sales staff,18,4,0,0,0,53,7,1
5009161,0,0,180000.0,Working,House,1,Sales staff,20,2,2,0,0,53,7,1
5009162,0,0,180000.0,Working,House,1,Sales staff,44,4,0,0,0,53,7,1
5009163,0,0,157500.0,Working,House,1,Sales staff,0,13,0,0,0,35,8,1
5009164,0,0,157500.0,Working,House,1,Sales staff,0,17,0,0,0,35,8,1
5009165,0,0,157500.0,Working,House,1,Sales staff,0,17,0,0,0,35,8,1
5009166,0,0,157500.0,Working,House,1,Sales staff,0,17,0,0,0,35,8,1
5009168,0,0,157500.0,Working,House,1,Sales staff,0,17,0,0,0,35,8,1
5009170,1,0,144000.0,Pensioner,House,1,,3,11,0,0,0,62,0,1
5009177,1,0,229500.0,Working,Co-op apartment,1,Laborers,15,34,1,0,0,50,3,1
5009178,1,0,229500.0,Working,Co-op apartment,1,Laborers,3,31,1,0,0,50,3,1
5009179,1,0,229500.0,Working,Co-op apartment,1,Laborers,11,2,0,0,0,50,3,1
5009180,1,0,229500.0,Working,Co-op apartment,1,Laborers,4,34,1,0,0,50,3,1
5009181,1,0,229500.0,Working,Co-op apartment,1,Laborers,3,9,1,0,0,50,3,1
